State,Population_Percent_Change,Population_2014,Population_2010,Education_High_School_or_Higher,Education_Bachelors_Degree_or_Higher,Sales_Retail_Sales,Mean_Travel_Time_to_Work,Income_Median_Household_Income,Income_Per_Capita_Income,Income_Persons_Below_Poverty_Level
Alabama,2.6,5024279,4779736,86.2,25.5,58564965,24.9,50536,27928,15.5
Alaska,3,733391,710231,92.8,29.6,10474275,19.1,77640,36787,10.1
Arizona,13.9,7151502,6392017,87.1,29.5,84716542,25.7,58945,30694,13.5
Arkansas,3.5,3011524,2915918,86.6,23,36815256,21.7,47597,26577,16.2
California,6.1,39538223,37253956,83.3,33.9,481800461,29.8,75235,36955,11.8
Colorado,14.5,5773714,5029196,91.7,40.9,67815200,25.8,72331,38226,9.3
Connecticut,-10.2,3605944,3574097,90.6,39.3,51632467,26.6,78444,44496,10
Delaware,8.4,989948,897934,90,32,14456001,26.3,68287,35450,11.3
District of Columbia,17.3,689545,601723,90.9,58.5,4439933,30.8,86420,56147,13.5
Florida,14.2,21538187,18801310,88.2,29.9,273867145,27.8,55660,31619,12.7
Georgia,9.6,10711908,9687653,87.1,31.3,119801495,28.8,58700,31067,13.3
Hawaii,4.1,1455271,1360301,92,33,18901745,27.5,81275,35567,9.3
Idaho,14,1839106,1567582,90.8,27.6,20444278,21.1,55785,27970,11.2
Illinois,-11.2,12812508,12830632,89.2,34.7,166634514,29.2,65886,36038,11.5
Indiana,3.8,6785528,6483802,88.8,26.5,85857962,23.8,56303,29777,11.9
Iowa,3.6,3190369,3046355,92.1,28.6,44905624,19.3,60523,32176,11.2
Kansas,2.1,2937880,2853118,91,33.4,38276461,19.4,59597,31814,11.4
Kentucky,3,4505836,4339367,86.3,24.2,54869978,23.6,50589,28178,16.3
Louisiana,2.5,4657757,4533372,85.2,24.1,61396364,25.7,49469,27923,19
Maine,1.2,1362359,1328361,92.6,31.8,21521714,24.2,57918,32637,10.9
Maryland,4.7,6177224,5773552,90.2,40.2,76379707,33.2,84805,42122,9
Massachusetts,5.3,7029917,6547629,90.8,43.7,92915380,30.2,81215,43761,9.4
Michigan,1,10077331,9883640,90.8,29.1,119302046,24.6,57144,31713,13
Minnesota,6.3,5706494,5303925,93.1,36.1,78898182,23.7,71306,37625,9
Mississippi,0.3,2961279,2967297,84.5,22,37053190,24.8,45081,24369,19.6
Missouri,2.5,6154913,5988927,89.9,29.2,90546581,23.9,55461,30810,12.9
Montana,8,1084225,989415,93.6,32,15623573,18.3,54970,31151,12.6
Nebraska,5.9,1961504,1826341,91.4,31.9,30470717,18.8,61439,32302,9.9
Nevada,14.1,3104614,2700551,86.7,24.7,38234170,24.6,60365,31557,12.5
New Hampshire,3.3,1377529,1316470,93.1,37,26018201,27.5,76768,40003,7.3
New Jersey,1,9288994,8791894,89.8,39.7,133665728,32.2,82545,42745,9.2
New Mexico,1.8,2117522,2059179,85.6,27.3,25179274,22.3,49754,27230,18.2
New York,0.4,20201249,19378102,86.8,36.6,251167736,33.6,68486,39326,13
North Carolina,10,10439388,9535483,87.8,31.3,120691007,24.8,54602,30783,13.6
North Dakota,13.3,779094,672591,92.6,30,15519816,17.3,64894,36062,10.6
Ohio,1.3,11799448,11536504,90.4,28.3,153553997,23.7,56602,31552,13.1
Oklahoma,5.5,3959353,3751351,88,25.5,50256231,21.9,52919,28422,15.2
Oregon,10.1,4237256,3831074,90.7,33.7,49481054,23.9,62818,33763,11.4
Pennsylvania,0.8,13002700,12702379,90.5,31.4,178794945,27.2,61744,34352,12
Rhode Island,0.6,1097379,1052567,88.8,34.2,12063865,25.2,67167,36121,10.8
South Carolina,11.3,5118425,4625364,87.5,28.1,58093824,25,53199,29426,13.8
South Dakota,8.7,886667,814180,91.7,28.8,13791827,17.2,58275,30773,11.9
Tennessee,7.6,6910840,6346105,87.5,27.3,91641605,25.2,53320,29859,13.9
Texas,15.3,29145505,25145561,83.7,29.9,356116376,26.6,61874,31277,13.6
Utah,16,3271616,2763885,92.3,34,38024486,21.9,71621,29775,8.9
Vermont,-10.3,643077,625741,92.7,38,9933751,23.3,61973,34577,10.2
Virginia,6.7,8631393,8001024,89.7,38.8,110002385,28.7,74222,39278,9.9
Washington,13.2,7705281,6724540,91.3,36,118924049,28,73775,38915,9.8
West Virginia,-13.3,1793716,1852994,86.9,20.6,22637923,25.9,46711,26480,16
Wisconsin,2.4,5893718,5686986,92.2,30.1,78201822,22.2,61747,33375,10.4
Wyoming,2.7,576851,563626,93.2,27.4,9446043,17.9,64049,33366,10.1
